plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;date;alliance;location;soil;rock.type;soil.depth;dung.rupi;dung.ibex
hw45;40;0;0;0;40;2;0;0;0;0,7;0;6;4;S;30;15;45;0;47.82240N;16.03801E;10;2008-08-05;Seslerio-Festucion pallentis;direkt neben Weg Krumme Rieß;Felshang, Feinsubstratreich, Bodenerrosion;precipice;shallow;yes;no
hw46;75;0;0;10;70;1;0;0;1,2;0,8;0;5;1,5;SE;80;15;5;0;47.82431N;16.04105E;10;2008-08-05;Seslerio-Festucion pallentis;in Wand 100m NE Gipfel Krumme Rieß, ca. 20m unterhalb Wandkante, direkt neben Gebüsch mit Evonymus verrucosa und Fraxinus excelsior;Rasenband, feinsubstratreich, getreppt;bank;deep;no;no
hw47;75;0;0;5;80;1;0;0;2;0,8;0;3;5;SE;75;20;5;0;47.82434N;16.04105E;10;2008-08-05;Seslerio-Festucion pallentis;ca. 15m unterhalb hw46, blockartige Felsnase;Felsnase, feinsubstratreich;bank;deep;no;no
hw48;70;0;0;40;50;2;0;0;2,5;0,8;0;10;10;E;85;20;10;0;47.82349N;16.04031E;10;2008-08-05;Berberidion;20m NW hw49;Felshang, superhomös;precipice;deep;no;no
hw49;50;0;0;0;50;1;0;0;0;0,8;0;4;5;E;80;45;5;0;47.82349N;16.03986E;10;2008-08-05;Seslerio-Festucion pallentis;Felswand nordwestlich Gipfel krumme Rieß, ca. 50m unter Felsoberkante;Felshang, superhomös;precipice;deep;no;no
hw50;20;0;0;0;20;4;0;0;0;0,6;0;10;10;SE;30;40;40;0;47.82388N;16.04092E;10;2008-08-05;Seslerio-Festucion pallentis;unterhalb Balme in Felswand unterhalb Gipfel Krumme Rieß, Hardcore Verbissfläche;Felshang, Substraterosion;precipice;shallow;yes;yes
hw51;50;0;0;3;50;0;0;0;1,5;0,8;0;1;2,5;SE;85;40;10;0;47.82307N;16.04031E;10;2008-08-05;Seslerio-Festucion pallentis;Wand 25m über Wandfußsteig, auf Höhe Maiersdorf;Felshang, Feinsubstratreich;precipice;deep;no;no
hw52;35;0;0;2;35;4;0;0;2,5;0,7;0;6;7;S;25;10;55;0;47.81111N;16.02472E;10;2008-08-06;Seslerio-Festucion pallentis;anbei Steig zum Hubertushaus am Ostende des Wandfuß markante Wand;Felshang;precipice;shallow;yes;yes
hw53;5;0;0;2;5;0;0;0;1,5;0,3;0;4;1,5;S;10;94;1;0;47.81100N;16.02431E;10;2008-08-06;Sisymbrion officinalis;30m westlich hw52;Balme;balme;shallow;yes;yes
hw54;45;0;0;0;45;2;0;0;0;0,8;0;8;5;SW;40;30;25;0;47.81287N;16.02882E;10;2008-08-06;Seslerio-Festucion pallentis;Felskopf ca. 500m E Hubertushaus, ca 25 m  unterhalb Betonstempen am Felskopf (Gipfel);Felshang, Substraterosion;precipice;shallow;yes;yes
hw55;45;0;0;0;45;2;0;0;0;0,5;0;2;4;S;80;50;5;0;47.81289N;16.02885E;10;2008-08-06;Seslerio-Festucion pallentis;NA;Rasenband, getreppt, aufgelöst, kleine Substrattaschen und Humusploster;bank;deep;no;no
hw56;65;0;0;0;65;1;0;0;0;0,8;0;5;1;SE;85;15;20;0;47.81311N;16.02903E;10;2008-08-06;Seslerio-Festucion pallentis;NA;Rasenband, feinsubstratreich, kleine Substrattaschen;bank;deep;no;no
hw57;45;0;0;2;40;10;0;0;2;0,5;0;6;3;SE;30;0;0;55;47.82963N;16.05117E;10;2008-08-20;Rumicetum scutati;direkt oberhalb Weg vom Parkplatz (Landewiese) Richtung NE;Schutt;scree;shallow;no;no
hw58;85;0;0;60;50;35;0;0;3,5;0,5;1;15;5;SE;30;0;0;15;47.82968N;16.05127E;10;2008-08-20;Berberidion;bei hw57;Schutt;scree;shallow;no;no
hw59;90;0;0;0;85;25;0;0;0;0,3;0;5;6;SE;30;0;10;0;47.82938N;16.04939E;10;2008-08-20;Cirsio-Brachypodion pinnati;NA;sekundärer Trockenrasen, Rensina, Substrat stabil, freie Bodenstellen;headwall;shallow;no;no
hw60;75;0;0;1;75;10;0;0;0;0,8;0;8;6;SE;35;5;0;20;47.82946N;16.04875E;10;2008-08-20;Rumicetum scutati;unterhalb Skywalk;Schutt, feinsubstratreich;scree;deep;no;no
hw61;95;5;0;80;75;30;9;0;5;0,3;0,6;15;5;SE;30;0;0;5;47.82856N;16.04765E;10;2008-08-20;Berberidion;SW unterhalb Skywalk;Schutt, gefestigt;scree;shallow;no;no
hw62;95;5;0;90;80;25;9,5;0;5;0,4;0,8;8;15;SE;15;0;0;5;47.82812N;16.04712E;10;2008-08-20;Berberidion;Nordöstlich einer markanten Schuttrinne;Schutt, gefestigt;scree;shallow;no;no
hw63;80;0;0;0;80;5;0;0;0;0,5;0;5;5;SE;30;0;10;10;47.83457N;16.05732E;10;2008-08-20;Geranion sanguinei ;Am Begin des Weg zm Almfrieden, Überbrückl Steig;Schutt, gefestigt, feinsubstratreich;headwall;shallow;yes;no
hw64;;;;;;;;;;;;;;;;;;;47.82912N;16.04779E;10;2014-07-04;Seslerio-Festucion pallentis;Auschlussfläche HTL-Steig;;;;;
hw65;;;;;;;;;;;;;;;;;;;47.82200N;16.03825E;10;2014-07-05;Seslerio-Festucion pallentis;Auschlussfläche Krumme Ries;;;;;
hw66;;;;;;;;;;;;;;;;;;;47.818547N;16.034283E;10;2014-07-05;Tilio-Acerion;hwx3;;;;;
hw67;;;;;;;;;;;;;;;;;;;47.818978N;16.034085E;10;2014-07-05;Tilio-Acerion;hwx4;;;;;
hw68;;;;;;;;;;;;;;;;;;;47.827080N;16.043452E;10;2014-07-06;Quercion pubescentis-petreae;hwx5;;;;;
hw69;;;;;;;;;;;;;;;;;;;47.827754N;16.044292E;10;2014-07-06;Quercion pubescentis-petreae;hwx6;;;;;
hw70;;;;;;;;;;;;;;;;;;;47.827742N;16.044846E;10;2014-07-06;Quercion pubescentis-petreae;hwx7;;;;;
hw71;;;;;;;;;;;;;;;;;;;47.827488N;16.045296E;10;2014-07-06;Quercion pubescentis-petreae;hwx8;;;;;
hw72;;;;;;;;;;;;;;;;;;;47.827247N;16.045637E;10;2014-07-06;Quercion pubescentis-petreae;hwx9;;;;;
hw73;;;;;;;;;;;;;;;;;;;47.827222N;16.045917E;10;2014-07-06;Quercion pubescentis-petreae;hw10;;;;;
hw74;;;;;;;;;;;;;;;;;;;47.834410N;16.055487E;10;2014-07-06;Tilio-Acerion;hw11;;;;;
