"plot";"variable";"value"
"wh08a";"hcov";"98"
"wh08a";"mcov";"5"
"wh08a";"htl1";"0"
"wh08a";"htl2";"0"
"wh08a";"hsl";"3"
"wh08a";"hhl1";"1,5"
"wh08a";"hhl2";"0,3"
"wh08a";"plsx";"15"
"wh08a";"plsy";"15"
"wh08a";"expo";"F"
"wh08a";"slope";"0"
"wh08a";"date";"12.09.2010"
"wh08a";"soil";
"wh08a";"comment";
"wh08b";"cov";"99"
"wh08b";"t1cov";"0"
"wh08b";"t2cov";"0"
"wh08b";"scov";"70"
"wh08b";"hcov";"85"
"wh08b";"mcov";"15"
"wh08b";"htl1";"0"
"wh08b";"htl2";"0"
"wh08b";"hsl";"5"
"wh08b";"hhl1";"1,2"
"wh08b";"hhl2";"0,2"
"wh08b";"plsx";"12"
"wh08b";"plsy";"12"
"wh08b";"expo";"F"
"wh08b";"slope";"0"
"wh08b";"date";"12.09.2010"
"wh08b";"soil";
"wh08b";"comment";
"wh09a";"cov";"100"
"wh09a";"t1cov";"95"
"wh09a";"t2cov";"0"
"wh09a";"scov";"0"
"wh09a";"hcov";"5"
"wh09a";"mcov";"98"
"wh09a";"htl1";"0"
"wh09a";"htl2";"14"
"wh09a";"hsl";"0"
"wh09a";"hhl1";"0,3"
"wh09a";"hhl2";"0,1"
"wh09a";"plsx";"15"
"wh09a";"plsy";"15"
"wh09a";"expo";"F"
"wh09a";"slope";"0"
"wh09a";"date";"13.09.2010"
"wh09a";"soil";
"wh09a";"comment";
"wh09b";"cov";"100"
"wh09b";"t1cov";"95"
"wh09b";"t2cov";"0"
"wh09b";"scov";"0"
"wh09b";"hcov";"3"
"wh09b";"mcov";"98"
"wh09b";"htl1";"15"
"wh09b";"htl2";"0"
"wh09b";"hsl";"0"
"wh09b";"hhl1";"0,3"
"wh09b";"hhl2";"0,1"
"wh09b";"plsx";"15"
"wh09b";"plsy";"15"
"wh09b";"expo";"F"
"wh09b";"slope";"0"
"wh09b";"date";"13.09.2010"
"wh09b";"soil";
"wh09b";"comment";
"wh10a";"cov";"100"
"wh10a";"t1cov";"97"
"wh10a";"t2cov";"0"
"wh10a";"scov";"0"
"wh10a";"hcov";"2"
"wh10a";"mcov";"98"
"wh10a";"htl1";"15"
"wh10a";"htl2";"0"
"wh10a";"hsl";"0"
"wh10a";"hhl1";"0,25"
"wh10a";"hhl2";"0,1"
"wh10a";"plsx";"20"
"wh10a";"plsy";"20"
"wh10a";"expo";"F"
"wh10a";"slope";"0"
"wh10a";"date";"13.09.2010"
"wh10a";"soil";
"wh10a";"comment";
"wh10b";"cov";"100"
"wh10b";"t1cov";"95"
"wh10b";"t2cov";"0"
"wh10b";"scov";"0"
"wh10b";"hcov";"3"
"wh10b";"mcov";"98"
"wh10b";"htl1";"18"
"wh10b";"htl2";"0"
"wh10b";"hsl";"0"
"wh10b";"hhl1";"0,25"
"wh10b";"hhl2";"0,1"
"wh10b";"plsx";"20"
"wh10b";"plsy";"20"
"wh10b";"expo";"F"
"wh10b";"slope";"0"
"wh10b";"date";"13.09.2010"
"wh10b";"soil";
"wh10b";"comment";
"wh01a";"longitude";"12.834052E"
"wh02a";"longitude";"12.832971E"
"wh03a";"longitude";"12.833030E"
"wh04a";"longitude";"12.833733E"
"wh05a";"longitude";"12.834927E"
"wh06a";"longitude";"12.835884E"
"wh07a";"longitude";"12.834644E"
"wh08a";"longitude";"12.833844E"
"wh02b";"longitude";"12.833518E"
"wh08b";"longitude";"12.834150E"
"wh06b";"longitude";"12.836584E"
"wh09a";"longitude";"12.835700E"
"wh09b";"longitude";"12.835999E"
"wh02c";"longitude";"12.834348E"
"wh02d";"longitude";"12.833118E"
"wh10a";"longitude";"12.831802E"
"wh10b";"longitude";"12.831961E"
"wh01a";"latitude";"48.116617N"
"wh02a";"latitude";"48.116642N"
"wh03a";"latitude";"48.117279N"
"wh04a";"latitude";"48.116951N"
"wh05a";"latitude";"48.116842N"
"wh06a";"latitude";"48.116010N"
"wh07a";"latitude";"48.115644N"
"wh08a";"latitude";"48.116337N"
"wh02b";"latitude";"48.114769N"
"wh08b";"latitude";"48.115064N"
"wh06b";"latitude";"48.113906N"
"wh09a";"latitude";"48.113768N"
"wh09b";"latitude";"48.112418N"
"wh02c";"latitude";"48.111937N"
"wh02d";"latitude";"48.113221N"
"wh10a";"latitude";"48.113594N"
"wh10b";"latitude";"48.112285N"
"wh01a";"altitude";"464"
"wh02a";"altitude";"491"
"wh03a";"altitude";"487"
"wh04a";"altitude";"490"
"wh05a";"altitude";"503"
"wh06a";"altitude";"484"
"wh07a";"altitude";"467"
"wh08a";"altitude";"471"
"wh02b";"altitude";"451"
"wh08b";"altitude";"470"
"wh06b";"altitude";"470"
"wh09a";"altitude";"495"
"wh09b";"altitude";"486"
"wh02c";"altitude";"488"
"wh02d";"altitude";"517"
"wh10a";"altitude";"469"
"wh10b";"altitude";"497"
"wh11a";"cov";"95"
"wh11a";"t1cov";"90"
"wh11a";"t2cov";"0"
"wh11a";"scov";"20"
"wh11a";"hcov";"20"
"wh11a";"mcov";"10"
"wh11a";"htl1";"9"
"wh11a";"htl2";"0"
"wh11a";"hsl";"3"
"wh11a";"hhl1";"0,7"
"wh11a";"hhl2";"0,1"
"wh11a";"plsx";"15"
"wh11a";"plsy";"15"
"wh11a";"expo";"W"
"wh11a";"slope";"20"
"wh11a";"date";"15.09.2010"
"wh11a";"soil";
"wh11a";"comment";
"wh11a";"longitude";"12.827278E"
"wh11a";"latitude";"48.114086N"
"wh11a";"altitude";"395"
"wh11b";"cov";"93"
"wh11b";"t1cov";"50"
"wh11b";"t2cov";"0"
"wh11b";"scov";"70"
"wh11b";"hcov";"25"
"wh11b";"mcov";"15"
"wh11b";"htl1";"7"
"wh11b";"htl2";"0"
"wh11b";"hsl";"4"
"wh11b";"hhl1";"0,9"
"wh11b";"hhl2";"0,2"
"wh11b";"plsx";"15"
"wh11b";"plsy";"15"
"wh11b";"expo";"W"
"wh11b";"slope";"25"
"wh11b";"date";"15.09.2010"
"wh11b";"soil";
"wh11b";"comment";
"wh11b";"longitude";"12.827269E"
"wh11b";"latitude";"48.114780N"
"wh11b";"altitude";"426"
"wh12a";"cov";"95"
"wh12a";"t1cov";"0"
"wh12a";"t2cov";"0"
"wh12a";"scov";"85"
"wh12a";"hcov";"35"
"wh12a";"mcov";"15"
"wh12a";"htl1";"0"
"wh12a";"htl2";"0"
"wh12a";"hsl";"5"
"wh12a";"hhl1";"0,9"
"wh12a";"hhl2";"0,2"
"wh12a";"plsx";"15"
"wh12a";"plsy";"15"
"wh12a";"expo";"W"
"wh12a";"slope";"20"
"wh12a";"date";"15.09.2010"
"wh12a";"soil";
"wh12a";"comment";
"wh12a";"longitude";"12.827279E"
"wh12a";"latitude";"48.112957N"
"wh12a";"altitude";"0"
"wh12b";"cov";"95"
"wh12b";"t1cov";"0"
"wh12b";"t2cov";"0"
"wh12b";"scov";"75"
"wh12b";"hcov";"75"
"wh12b";"mcov";"15"
"wh12b";"htl1";"0"
"wh12b";"htl2";"0"
"wh12b";"hsl";"5"
"wh12b";"hhl1";"1"
"wh12b";"hhl2";"0,3"
"wh12b";"plsx";"15"
"wh12b";"plsy";"15"
"wh12b";"expo";"W"
"wh12b";"slope";"15"
"wh12b";"date";"15.09.2010"
"wh12b";"soil";
"wh12b";"comment";
"wh12b";"longitude";"12.827503E"
"wh12b";"latitude";"48.112584N"
"wh12b";"altitude";"418"
"wh13a";"cov";"98"
"wh13a";"t1cov";"0"
"wh13a";"t2cov";"0"
"wh13a";"scov";"15"
"wh13a";"hcov";"95"
"wh13a";"mcov";"30"
"wh13a";"htl1";"0"
"wh13a";"htl2";"0"
"wh13a";"hsl";"2"
"wh13a";"hhl1";"1,3"
"wh13a";"hhl2";"0,2"
"wh13a";"plsx";"15"
"wh13a";"plsy";"15"
"wh13a";"expo";"NW"
"wh13a";"slope";"7"
"wh13a";"date";"15.09.2010"
"wh13a";"soil";
"wh13a";"comment";
"wh13a";"longitude";"12.828509E"
"wh13a";"latitude";"48.112202N"
"wh13a";"altitude";"421"
"wh14a";"cov";"95"
"wh14a";"t1cov";"0"
"wh14a";"t2cov";"0"
"wh14a";"scov";"0"
"wh14a";"hcov";"95"
"wh14a";"mcov";"5"
"wh14a";"htl1";"0"
"wh14a";"htl2";"0"
"wh14a";"hsl";"0"
"wh14a";"hhl1";"1,2"
"wh14a";"hhl2";"0,3"
"wh14a";"plsx";"15"
"wh14a";"plsy";"15"
"wh14a";"expo";"N"
"wh14a";"slope";"12"
"wh14a";"date";"15.09.2010"
"wh14a";"soil";
"wh14a";"comment";
"wh14a";"longitude";"12.828363E"
"wh14a";"latitude";"48.112364N"
"wh14a";"altitude";"426"
"wh15a";"cov";"100"
"wh15a";"t1cov";"0"
"wh15a";"t2cov";"0"
"wh15a";"scov";"5"
"wh15a";"hcov";"95"
"wh15a";"mcov";"10"
"wh15a";"htl1";"0"
"wh15a";"htl2";"0"
"wh15a";"hsl";"3"
"wh15a";"hhl1";"1,8"
"wh15a";"hhl2";"0,2"
"wh15a";"plsx";"15"
"wh15a";"plsy";"15"
"wh15a";"expo";"N"
"wh15a";"slope";"10"
"wh15a";"date";"15.09.2010"
"wh15a";"soil";
"wh15a";"comment";
"wh15a";"longitude";"12.829927E"
"wh15a";"latitude";"48.114014N"
"wh15a";"altitude";"420"
"wh16a";"cov";"15"
"wh16a";"t1cov";"0"
"wh16a";"t2cov";"0"
"wh16a";"scov";"4"
"wh16a";"hcov";"10"
"wh16a";"mcov";"1"
"wh16a";"htl1";"0"
"wh16a";"htl2";"0"
"wh16a";"hsl";"1,3"
"wh16a";"hhl1";"0,4"
"wh16a";"hhl2";"0,1"
"wh16a";"plsx";"15"
"wh16a";"plsy";"15"
"wh16a";"expo";"N"
"wh16a";"slope";"15"
"wh16a";"date";"15.09.2010"
"wh16a";"soil";
"wh16a";"comment";
"wh16a";"longitude";"12.830555E"
"wh16a";"latitude";"48.115023N"
"wh16a";"altitude";"0"
"wh17a";"cov";"80"
"wh17a";"t1cov";"0"
"wh17a";"t2cov";"0"
"wh17a";"scov";"5"
"wh17a";"hcov";"70"
"wh17a";"mcov";"7"
"wh17a";"htl1";"0"
"wh17a";"htl2";"0"
"wh17a";"hsl";"1,5"
"wh17a";"hhl1";"0,5"
"wh17a";"hhl2";"0,1"
"wh17a";"plsx";"15"
"wh17a";"plsy";"15"
"wh17a";"expo";"F"
"wh17a";"slope";"0"
"wh17a";"date";"15.09.2010"
"wh17a";"soil";
"wh17a";"comment";
"wh17a";"longitude";"12.827412E"
"wh17a";"latitude";"48.113506N"
"wh17a";"altitude";"408"
"wh18a";"cov";"95"
"wh18a";"t1cov";"0"
"wh18a";"t2cov";"0"
"wh18a";"scov";"0"
"wh18a";"hcov";"90"
"wh18a";"mcov";"20"
"wh18a";"htl1";"0"
"wh18a";"htl2";"0"
"wh18a";"hsl";"0"
"wh18a";"hhl1";"1,5"
"wh18a";"hhl2";"0,3"
"wh18a";"plsx";"15"
"wh18a";"plsy";"15"
"wh18a";"expo";"F"
"wh18a";"slope";"0"
"wh18a";"date";"15.09.2010"
"wh18a";"soil";
"wh18a";"comment";
"wh18a";"longitude";"12.828928E"
"wh18a";"latitude";"48.112301N"
"wh18a";"altitude";"407"
